"","drug.names","estimate","standard-error","tvalue","pvalue","r_sq","adj_r_sq","ATC code primary","ATC code secondary","sum","maf"
"30","Aescin",1.8312987702444,7.99113817217972,0.229166200206607,0.819123474731578,0.841004550323998,0.835791584760851,"","",2,0.0145985401459854
"79","Ammidin",14.5434896963448,0.906008628440312,16.052264007001,5.81114088031618e-32,0.840936107803888,0.837056500677154,"","",1,0.0072992700729927
"155","B-arbutin",14.5434896963448,0.906008628440312,16.052264007001,5.81114088031618e-32,0.840936107803888,0.837056500677154,"","",1,0.0072992700729927
"156","Bacillus clausii",7.43290890190979,7.9251110415927,0.937893344698929,0.35015226277857,0.842074779614374,0.836896903536157,"","",1,0.0072992700729927
"157","Bacillus subtilis",9.94624566922273,4.57208007403607,2.17543120596366,0.0315259947981047,0.846875941804728,0.841855480880293,"","",3,0.0218978102189781
"194","Berberine",4.34307168495761,4.11569181122135,1.05524706031591,0.293397609918135,0.842374820464942,0.837206781791661,"","",4,0.0291970802919708
"195","Beta sitosterol",4.4120209205131,7.90610882239339,0.558052136598022,0.577831433508034,0.841341106979929,0.836139176061238,"","",2,0.0145985401459854
"207","Bifendate",12.4273186799868,8.06924811153638,1.54008384774039,0.126129675093987,0.84396956739475,0.838853815506053,"","",1,0.0072992700729927
"222","Borneol",2.10364664083942,5.62765971036952,0.373804876112754,0.709198309315233,0.841118079806168,0.835908836521124,"","",2,0.0145985401459854
"223","Boron",4.4120209205131,7.90610882239339,0.558052136598022,0.577831433508034,0.841341106979929,0.836139176061238,"","",2,0.0145985401459854
"271","Camphene",2.10364664083942,5.62765971036952,0.373804876112754,0.709198309315233,0.841118079806168,0.835908836521124,"","",2,0.0145985401459854
"300","Carrageenan",7.43290890190979,7.9251110415927,0.937893344698929,0.35015226277857,0.842074779614374,0.836896903536157,"","",1,0.0072992700729927
"303","Cascara Sagrada",-3.84411622122326,4.66422512335332,-0.824170386196872,0.411451119600812,0.8418168209518,0.836630487212515,"","",3,0.0218978102189781
"305","Cassia italica",1.8312987702444,7.99113817217972,0.229166200206607,0.819123474731578,0.841004550323998,0.835791584760851,"","",1,0.0072992700729927
"307","Catalase",7.43290890190979,7.9251110415927,0.937893344698929,0.35015226277857,0.842074779614374,0.836896903536157,"","",1,0.0072992700729927
"342","Cellulase",14.5434896963448,0.906008628440312,16.052264007001,5.81114088031618e-32,0.840936107803888,0.837056500677154,"","",1,0.0072992700729927
"351","Chamomile",4.68850271775172,5.64775554195041,0.830153267599218,0.408073664709906,0.841829581960343,0.836643666614781,"","",2,0.0145985401459854
"353","Chitosan",14.5434896963448,0.906008628440312,16.052264007001,5.81114088031618e-32,0.840936107803888,0.837056500677154,"","",1,0.0072992700729927
"380","Choline",1.40304788663156,3.09666941246316,0.453082877037089,0.651293845627408,0.841203308090313,0.835996859175241,"","",8,0.0583941605839416
"382","Choline bitartrate",14.5434896963448,0.906008628440312,16.052264007001,5.81114088031618e-32,0.840936107803888,0.837056500677154,"","",1,0.0072992700729927
"383","Choline hydro tartrate",7.43290890190979,7.9251110415927,0.937893344698929,0.35015226277857,0.842074779614374,0.836896903536157,"","",1,0.0072992700729927
"445","Clove oil",3.75570215686738,4.60107143402649,0.81626686538546,0.415938468777722,0.841800101759713,0.836613219850195,"","",3,0.0218978102189781
"461","Colibacillus (Escherichia coli)",8.64694523946658,7.89158068856535,1.09571777578043,0.275360613529586,0.842486195274167,0.837321808233975,"","",1,0.0072992700729927
"466","Compound Tragacanth",-1.55698810510986,7.96570365461274,-0.195461464877399,0.845356869368203,0.840985904220511,0.835772327309708,"","",1,0.0072992700729927
"493","Cytidylate",14.5434896963448,0.906008628440312,16.052264007001,5.81114088031618e-32,0.840936107803888,0.837056500677154,"","",0,0
"494","Cytochrome C",6.39425427847493,4.59680947580892,1.39102007862741,0.16675106115572,0.843419496231471,0.838285709222667,"","",3,0.0218978102189781
"559","Dichlorobenzene",2.63110622832017,4.59592307037247,0.572487003814652,0.568045593922544,0.841362272934451,0.836161035981482,"","",3,0.0218978102189781
"571","Diethylphosphate ethylisothiouronium",11.4578031536391,7.84339802193851,1.46082133299762,0.146635133806652,0.843670589770545,0.838545035336793,"","",1,0.0072992700729927
"608","Disodium inosinate",5.97339794152087,5.61225468420092,1.06434905000598,0.289272658414924,0.842399517291675,0.837232288350418,"","",2,0.0145985401459854
"655","Emoxypine",4.83829720304644,5.67531623434357,0.852515878105259,0.395598344871785,0.841878078096908,0.83669375278861,"","",2,0.0145985401459854
"689","Esculin",7.43290890190979,7.9251110415927,0.937893344698929,0.35015226277857,0.842074779614374,0.836896903536157,"","",1,0.0072992700729927
"750","Fatty acid esters",1.09513781282364,3.6030460209289,0.303947772651902,0.761685468320258,0.841056467466241,0.835845204104479,"","",5,0.0364963503649635
"755","Fenchone",-3.2458898648402,7.92420693841138,-0.409616998908276,0.682805235502076,0.841154567258037,0.835946520282891,"","",1,0.0072992700729927
"826","Funtumine",7.43290890190979,7.9251110415927,0.937893344698929,0.35015226277857,0.842074779614374,0.836896903536157,"","",1,0.0072992700729927
"850","Gingko biloba (Ginkgo biloba)",3.96421010778445,3.12226438296217,1.26965869047371,0.206622739782578,0.843010471172728,0.83786327350626,"","",7,0.0510948905109489
"851","Ginseng",3.18307560040368,5.66095204048466,0.56228626874768,0.57495267349936,0.841347260083043,0.836145530905438,"","",2,0.0145985401459854
"859","Glucosade (Glucozade)",-7.23492245352523,7.93312440644481,-0.911989032675151,0.36357306708416,0.842013168775504,0.836833272669783,"","",1,0.0072992700729927
"876","Grass pollen extract",6.30165699008731,7.96653104198567,0.791016435745491,0.430469485191927,0.841747743418357,0.83655914484191,"","",1,0.0072992700729927
"880","Guanine",5.35401556573693,8.01940382286056,0.667632617586169,0.505629090354615,0.841515140438025,0.836318915534354,"","",1,0.0072992700729927
"881","Guanosine",7.43290890190979,7.9251110415927,0.937893344698929,0.35015226277857,0.842074779614374,0.836896903536157,"","",1,0.0072992700729927
"884","Haemophobin",7.43290890190979,7.9251110415927,0.937893344698929,0.35015226277857,0.842074779614374,0.836896903536157,"","",1,0.0072992700729927
"890","Hammamelis virginiana",-4.23856765740444,3.31108360535009,-1.28011496011629,0.202933411212792,0.843044323979234,0.837898236240849,"","",6,0.0437956204379562
"892","Hemoderivative",16.3682025052704,7.78023855384954,2.10381756188847,0.0374479258493582,0.846504774105549,0.841472143748354,"","",1,0.0072992700729927
"901","Hesperidin",1.65891995425791,2.63894703682942,0.628629499230509,0.530766820359629,0.841449674462856,0.836251303133769,"","",11,0.0802919708029197
"903","Hexachloride",-2.54373354653449,4.01225725029469,-0.633990641140385,0.527273846043368,0.841458442630363,0.836260358782178,"","",4,0.0291970802919708
"916","Human anti-hemophiliac fraction",-9.42757249710851,5.59113735252922,-1.68616363767988,0.0943200656593064,0.84455859061654,0.839462150964623,"","",2,0.0145985401459854
"917","Huperzine A",12.4273186799868,8.06924811153638,1.54008384774039,0.126129675093987,0.84396956739475,0.838853815506053,"","",1,0.0072992700729927
"942","Ichthammol",-0.750445599548964,2.41174723308863,-0.311162624860938,0.756208044222931,0.841062244687595,0.835851170742926,"","",13,0.0948905109489051
"1000","Juniperberry oil",3.39526437260155,8.04780407101511,0.421887056722702,0.673849943398904,0.84116783181477,0.835960219743123,"","",1,0.0072992700729927
"1010","Khellin",4.98684822042071,5.6042712034133,0.889829924251961,0.375308517296887,0.841961798136666,0.836780217747705,"","",3,0.0218978102189781
"1011","Kojic acid",-4.15912283175636,7.99160140258137,-0.520436721282535,0.603702420883262,0.841288466117372,0.836084809268761,"","",1,0.0072992700729927
"1012","Ksantinola Nicotinate",8.64694523946658,7.89158068856535,1.09571777578043,0.275360613529586,0.842486195274167,0.837321808233975,"","",1,0.0072992700729927
"1020","Lagundi",-1.54130909417321,7.95983823059589,-0.193635730968595,0.846783142248685,0.840984978589443,0.835771371330081,"","",1,0.0072992700729927
